id,AGE,GENDER,H2,C2,FHD2,FC2,H4,C4,FHD4,FC4,H6,C6,FHD6,FC6,H9,C9,FHD9,FC9,H10,C10,FHD10,FC10,H13,C13,FHD13,FC13,H16,C16,FHD16,FC16
203,23,2,5,1,4,1,5,4,5,4,2,4,2,4,4,2,4,2,3,4,3,4,2,2,2,2,1,1,1,3
204,30,1,3,2,3,2,5,4,5,3,1,1,2,1,4,3,4,2,5,1,1,2,5,3,5,2,2,1,1,3
205,21,2,4,2,4,2,2,1,1,2,2,4,2,4,1,2,1,2,5,3,1,2,5,2,5,2,2,1,1,2
206,21,2,1,2,1,1,5,2,1,4,3,2,3,2,2,2,2,1,5,2,1,2,1,2,1,3,4,1,1,3
207,21,1,4,2,4,2,5,4,5,4,2,4,2,4,4,2,4,2,3,3,3,3,3,1,1,1,2,1,1,2
208,20,2,4,1,4,1,5,3,5,2,1,1,1,1,1,2,1,2,5,3,3,4,5,1,1,1,1,2,1,3
209,21,1,2,3,2,3,2,2,1,2,3,1,2,1,5,3,5,3,3,4,3,4,5,1,1,1,1,2,1,2
210,21,1,5,2,5,2,1,2,1,3,2,4,2,4,5,3,5,4,5,2,5,1,1,3,1,3,1,3,1,4
211,22,2,2,2,2,2,5,4,5,4,3,1,3,1,4,4,4,4,3,4,3,4,1,1,1,1,3,2,1,2
212,20,1,3,1,3,1,2,1,1,1,1,2,1,1,5,3,5,4,5,2,5,2,5,3,5,2,4,1,4,1
215,35,1,5,3,5,3,5,3,5,3,2,3,2,3,4,3,4,3,2,2,2,2,4,3,4,3,1,3,1,3
216,21,2,4,1,4,3,5,4,5,4,2,4,2,4,1,1,1,1,4,1,1,1,2,1,1,2,5,1,1,2
218,21,1,2,2,2,2,5,3,5,2,2,4,2,4,5,1,5,2,5,2,1,3,1,2,1,2,4,1,1,2
219,21,2,5,1,4,1,2,2,1,2,1,1,2,1,2,1,2,1,1,2,1,3,1,1,1,1,2,1,1,1
