id,AGE,GENDER,H2,C2,FHD2,FC2,H6,C6,FHD6,FC6,H8,C8,FHD8,FC8,H9,C9,FHD9,FC9,H11,C11,FHD11,FC11,H13,C13,FHD13,FC13,H14,C14,FHD14,FC14,H18,C18,FHD18,FC18
175,21,AO05,3,2,4,1,3,4,4,1,2,1,4,3,3,2,4,1,1,1,4,1,1,2,2,1,4,1,3,3,5,4,5,4
176,21,2,2,2,2,2,2,2,2,3,1,3,1,3,4,4,4,4,1,3,2,1,4,1,4,1,5,3,5,3,3,3,3,3
177,21,2,5,2,5,2,2,3,2,2,4,3,4,2,2,3,2,2,4,2,4,2,2,2,1,2,4,2,4,3,2,2,2,2
178,21,2,2,2,2,2,2,2,2,2,2,1,2,2,4,1,4,1,5,1,5,1,1,1,1,1,5,1,5,1,5,2,5,2
179,20,2,5,1,4,1,2,4,2,4,1,2,1,2,4,1,5,1,4,1,4,1,2,1,1,1,5,3,5,2,4,1,2,1
180,22,2,5,2,5,2,2,3,2,3,1,4,1,3,4,4,4,3,1,4,1,4,5,2,4,1,4,4,4,4,4,3,4,3
181,21,1,4,2,4,3,3,1,3,1,1,2,1,2,5,3,5,3,1,2,1,2,1,1,1,2,5,3,5,2,3,3,3,2
182,21,2,5,2,5,2,2,4,2,4,4,3,4,2,1,2,1,2,4,1,4,2,1,2,1,2,4,3,4,4,4,2,4,2
183,21,1,2,1,2,2,5,3,5,3,4,3,4,3,4,3,4,3,4,3,4,3,5,1,1,2,4,3,4,3,4,2,4,3
184,26,1,4,2,4,2,4,1,2,2,5,3,5,2,5,3,5,3,2,1,4,2,5,1,1,2,5,3,5,3,5,4,5,4
185,20,2,4,4,4,4,2,4,2,4,1,3,1,3,5,4,5,4,2,2,4,3,2,3,2,4,5,4,5,3,5,4,5,4
186,21,2,1,2,1,2,1,2,1,2,5,2,5,3,5,4,5,4,2,3,2,2,3,2,1,2,2,4,2,4,4,4,4,4
